"","From","To","age","sex","psi",".lower",".upper",".width",".point",".interval"
"331","CNWR","HB",1,0,0.000335070216018618,0.000249704076027234,0.000426433528211508,0.9,"mean","qi"
"332","CNWR","HB",1,1,0.000609130972708489,0.000485603639717899,0.000745380418515013,0.9,"mean","qi"
"333","CNWR","HI",0,0,9.4628887789244e-06,6.09674297480754e-06,1.44621856908008e-05,0.9,"mean","qi"
"334","CNWR","HI",0,1,1.73322384360277e-05,1.09691930751405e-05,2.65516959760983e-05,0.9,"mean","qi"
"335","CNWR","HI",1,0,1.46669594894519e-05,9.31309089058366e-06,2.16165711959241e-05,0.9,"mean","qi"
"336","CNWR","HI",1,1,2.66663780000519e-05,1.75320110674827e-05,3.88621069745043e-05,0.9,"mean","qi"
"337","CNWR","LINWR",0,0,0.000101686673656431,7.28174951531526e-05,0.000136703491593224,0.9,"mean","qi"
"338","CNWR","LINWR",0,1,0.000186271818339223,0.000131642664017612,0.000253751567981713,0.9,"mean","qi"
"339","CNWR","LINWR",1,0,0.000157411019161079,0.000113489500722978,0.000207855119810175,0.9,"mean","qi"
"340","CNWR","LINWR",1,1,0.000286154517821087,0.000219382386582696,0.000364677330543137,0.9,"mean","qi"
"341","CNWR","LL",0,0,0.00278368568592227,0.00201145277190038,0.00349025074515439,0.9,"mean","qi"
"342","CNWR","LL",0,1,0.0051037524331339,0.00376326992250991,0.00651693387997348,0.9,"mean","qi"
"343","CNWR","LL",1,0,0.00429412915847899,0.00347878888847725,0.00515837846124146,0.9,"mean","qi"
"344","CNWR","LL",1,1,0.00780852806888504,0.00682874543420731,0.00886107875014518,0.9,"mean","qi"
"345","CNWR","M",0,0,1.04023911441683e-05,6.78162577886799e-06,1.59624968999523e-05,0.9,"mean","qi"
"346","CNWR","M",0,1,1.90478402008879e-05,1.22642209705947e-05,2.85008976194387e-05,0.9,"mean","qi"
"347","CNWR","M",1,0,1.61321077479153e-05,1.01693927598386e-05,2.39512961117877e-05,0.9,"mean","qi"
"348","CNWR","M",1,1,2.93249428369281e-05,1.94271117982771e-05,4.31340286361061e-05,0.9,"mean","qi"
"349","CNWR","P",0,0,7.23578246928918e-06,4.58672298714375e-06,1.11457913868253e-05,0.9,"mean","qi"
"350","CNWR","P",0,1,1.32538543702112e-05,8.2112026495444e-06,2.0600034800631e-05,0.9,"mean","qi"
"351","CNWR","P",1,0,1.12149749718333e-05,6.97059465369742e-06,1.66962161859329e-05,0.9,"mean","qi"
"352","CNWR","P",1,1,2.03915605975089e-05,1.3235666979616e-05,3.01788729616692e-05,0.9,"mean","qi"
"353","CNWR","RLNWR_N",0,0,1.07753096631676e-05,6.88996860465683e-06,1.69414261512105e-05,0.9,"mean","qi"
"354","CNWR","RLNWR_N",0,1,1.97205164856655e-05,1.18545287215226e-05,3.0321142116384e-05,0.9,"mean","qi"
"355","CNWR","RLNWR_N",1,0,1.67360492611634e-05,9.97163930350227e-06,2.58253575350975e-05,0.9,"mean","qi"
"356","CNWR","RLNWR_N",1,1,3.04148369305198e-05,1.94305664692248e-05,4.6079646334562e-05,0.9,"mean","qi"
"357","CNWR","RLNWR_S",0,0,2.26835243463634e-05,1.52439335805319e-05,3.39283644049095e-05,0.9,"mean","qi"
"358","CNWR","RLNWR_S",0,1,4.15251758535738e-05,2.63818372822835e-05,6.11216831681537e-05,0.9,"mean","qi"
"359","CNWR","RLNWR_S",1,0,3.51939900870928e-05,2.19292143400127e-05,5.11613689257283e-05,0.9,"mean","qi"
"360","CNWR","RLNWR_S",1,1,6.39630321089962e-05,4.40203501806666e-05,9.20571548236458e-05,0.9,"mean","qi"
"361","CNWR","WL",0,0,0.0010643176543889,0.000791054403748339,0.00132310699533074,0.9,"mean","qi"
"362","CNWR","WL",0,1,0.00195061900035272,0.00145175032541308,0.00248120631947464,0.9,"mean","qi"
"363","CNWR","WL",1,0,0.00164392087946451,0.00133082062233798,0.00196582403891436,0.9,"mean","qi"
"364","CNWR","WL",1,1,0.00298881930132257,0.00260171651492364,0.00339114778376746,0.9,"mean","qi"
"365","BLNWR","BB",0,0,5.06715360216729e-06,2.30940006332413e-06,9.86155033573636e-06,0.9,"mean","qi"
"366","BLNWR","BB",0,1,9.2771256003264e-06,4.29840490883735e-06,1.86807787066145e-05,0.9,"mean","qi"
"367","BLNWR","BB",1,0,7.85001324565389e-06,3.53208280794985e-06,1.61780069297741e-05,0.9,"mean","qi"
"368","BLNWR","BB",1,1,1.42890361477348e-05,6.84145487681182e-06,2.75650810890943e-05,0.9,"mean","qi"
"369","BLNWR","BLNWR",0,0,0.999517130320402,0.999148681740866,0.99974261394633,0.9,"mean","qi"
"370","BLNWR","BLNWR",0,1,0.999115258963643,0.998438261350248,0.999523125199236,0.9,"mean","qi"
